Norway's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
1994,Lillehammer,Skating,"KOSS, Johann Olav",NOR,Men,10000M,1
1994,Lillehammer,Skating,"KOSS, Johann Olav",NOR,Men,1500M,1
1994,Lillehammer,Skating,"KOSS, Johann Olav",NOR,Men,5000M,1
1994,Lillehammer,Skiing,"KJUS, Lasse",NOR,Men,Alpine Combined,1
1994,Lillehammer,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,10KM Pursuit,1
1994,Lillehammer,Skiing,"ALSGAARD, Thomas",NOR,Men,30KM Mass Start,1
1994,Lillehammer,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,Combined 10KM + 15KM Pursuit,1
1994,Lillehammer,Skiing,"HATTESTAD, Stine Lise",NOR,Women,Moguls,1
1994,Lillehammer,Skiing,"LUNDBERG, Fred Boerre",NOR,Men,Individual,1
1994,Lillehammer,Skiing,"BREDESEN, Espen",NOR,Men,K90 Individual (70M),1
1998,Nagano,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,10KM,1
1998,Nagano,Biathlon,"HANEVOLD, Halvard",NOR,Men,20KM,1
1998,Nagano,Skating,"SONDRAL, Adne",NOR,Men,1500M,1
1998,Nagano,Skiing,"BURAAS, Hans-Petter",NOR,Men,Slalom,1
1998,Nagano,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,10KM Pursuit,1
1998,Nagano,Skiing,"ALSGAARD, Thomas",NOR,Men,4X10KM Relay,1
1998,Nagano,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,4X10KM Relay,1
1998,Nagano,Skiing,"JEVNE, Erling",NOR,Men,4X10KM Relay,1
1998,Nagano,Skiing,"SIVERTSEN, Sture",NOR,Men,4X10KM Relay,1
1998,Nagano,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,50KM,1
1998,Nagano,Skiing,"ALSGAARD, Thomas",NOR,Men,Combined 10KM + 15KM Pursuit,1
1998,Nagano,Skiing,"VIK, Bjarte Engen",NOR,Men,Individual,1
1998,Nagano,Skiing,"BRAATEN, Kenneth",NOR,Men,Team,1
1998,Nagano,Skiing,"LUNDBERG, Fred Boerre",NOR,Men,Team,1
1998,Nagano,Skiing,"SKARD, Halldor",NOR,Men,Team,1
1998,Nagano,Skiing,"VIK, Bjarte Engen",NOR,Men,Team,1
2002,Salt Lake City,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,10KM,1
2002,Salt Lake City,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,12.5Km Pursuit,1
2002,Salt Lake City,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,20KM,1
2002,Salt Lake City,Biathlon,"ANDRESEN, Frode",NOR,Men,4X7.5KM Relay,1
2002,Salt Lake City,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,4X7.5KM Relay,1
2002,Salt Lake City,Biathlon,"GJELLAND, Egil",NOR,Men,4X7.5KM Relay,1
2002,Salt Lake City,Biathlon,"HANEVOLD, Halvard",NOR,Men,4X7.5KM Relay,1
2002,Salt Lake City,Curling,"DAVANGER, Flemming",NOR,Men,Curling,1
2002,Salt Lake City,Curling,"NERGAARD, Torger",NOR,Men,Curling,1
2002,Salt Lake City,Curling,"RAMSFJELL, Bent Aanund",NOR,Men,Curling,1
2002,Salt Lake City,Curling,"TRULSEN, Paal",NOR,Men,Curling,1
2002,Salt Lake City,Curling,"VAAGBERG, Lars",NOR,Men,Curling,1
2002,Salt Lake City,Skiing,"AAMODT, Kjetil Andre",NOR,Men,Alpine Combined,1
2002,Salt Lake City,Skiing,"AAMODT, Kjetil Andre",NOR,Men,Super-G,1
2002,Salt Lake City,Skiing,"SKARI, Bente",NOR,Women,10KM,1
2002,Salt Lake City,Skiing,"ALSGAARD, Thomas",NOR,Men,10KM Pursuit,1
2002,Salt Lake City,Skiing,"ESTIL, Frode",NOR,Men,10KM Pursuit,1
2002,Salt Lake City,Skiing,"ALSGAARD, Thomas",NOR,Men,4X10KM Relay,1
2002,Salt Lake City,Skiing,"AUKLAND, Anders",NOR,Men,4X10KM Relay,1
2002,Salt Lake City,Skiing,"ESTIL, Frode",NOR,Men,4X10KM Relay,1
2002,Salt Lake City,Skiing,"SKJELDAL, Kristen",NOR,Men,4X10KM Relay,1
2002,Salt Lake City,Skiing,"HETLAND, Tor Arne",NOR,Men,Sprint 1.5KM,1
2002,Salt Lake City,Skiing,"TRAA, Kari",NOR,Women,Moguls,1
2006,Turin,Skiing,"AAMODT, Kjetil Andre",NOR,Men,Super-G,1
2006,Turin,Skiing,"BYSTOEL, Lars",NOR,Men,K90 Individual (70M),1
2010,Vancouver,Biathlon,"BERGER, Tora",NOR,Women,15KM,1
2010,Vancouver,Biathlon,"SVENDSEN, Emil Hegle",NOR,Men,20KM,1
2010,Vancouver,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,4X7.5KM Relay,1
2010,Vancouver,Biathlon,"BOE, Tarjei",NOR,Men,4X7.5KM Relay,1
2010,Vancouver,Biathlon,"HANEVOLD, Halvard",NOR,Men,4X7.5KM Relay,1
2010,Vancouver,Biathlon,"SVENDSEN, Emil Hegle",NOR,Men,4X7.5KM Relay,1
2010,Vancouver,Skiing,"SVINDAL, Aksel Lund",NOR,Men,Super-G,1
2010,Vancouver,Skiing,"BJOERGEN, Marit",NOR,Women,4X5KM Relay,1
2010,Vancouver,Skiing,"JOHAUG, Therese",NOR,Women,4X5KM Relay,1
2010,Vancouver,Skiing,"SKOFTERUD, Vibeke W",NOR,Women,4X5KM Relay,1
2010,Vancouver,Skiing,"STEIRA, Kristin Stoermer",NOR,Women,4X5KM Relay,1
2010,Vancouver,Skiing,"NORTHUG, Petter",NOR,Men,50KM,1
2010,Vancouver,Skiing,"BJOERGEN, Marit",NOR,Women,Combined 7.5 + 7.5Km Mass Start,1
2010,Vancouver,Skiing,"BJOERGEN, Marit",NOR,Women,Sprint 1.5KM,1
2010,Vancouver,Skiing,"NORTHUG, Petter",NOR,Men,Team Sprint,1
2010,Vancouver,Skiing,"PETTERSEN, Oeystein",NOR,Men,Team Sprint,1
2014,Sochi,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,10KM,1
2014,Sochi,Biathlon,"SVENDSEN, Emil Hegle",NOR,Men,15KM Mass Start,1
2014,Sochi,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,Relay Mix,1
2014,Sochi,Biathlon,"SVENDSEN, Emil Hegle",NOR,Men,Relay Mix,1
2014,Sochi,Biathlon,"BERGER, Tora",NOR,Women,Relay Mix,1
2014,Sochi,Biathlon,"ECKHOFF, Tiril",NOR,Women,Relay Mix,1
2014,Sochi,Skiing,"JANSRUD, Kjetil",NOR,Men,Super-G,1
2014,Sochi,Skiing,"HATTESTAD, Ola Vigen",NOR,Men,Sprint 1.5KM,1
2014,Sochi,Skiing,"BJOERGEN, Marit",NOR,Women,30KM,1
2014,Sochi,Skiing,"BJOERGEN, Marit",NOR,Women,Combined7.5+7.5,1
2014,Sochi,Skiing,"FALLA, Maiken Caspersen",NOR,Women,Sprint 1.5KM,1
2014,Sochi,Skiing,"BJOERGEN, Marit",NOR,Women,Team Sprint,1
2014,Sochi,Skiing,"OESTBERG, Ingvild Flugstad",NOR,Women,Team Sprint,1
2014,Sochi,Skiing,"GRAABAK, Joergen",NOR,Men,Sprint K120,1
2014,Sochi,Skiing,"GRAABAK, Joergen",NOR,Men,"Team, 4X5 KM",1
