Norway's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
2010,Vancouver,Biathlon,"SVENDSEN, Emil Hegle",NOR,Men,10KM,2
2010,Vancouver,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,20KM,2
2010,Vancouver,Curling,"LOEVOLD, Thomas",NOR,Men,Curling,2
2010,Vancouver,Curling,"NERGAARD, Torger",NOR,Men,Curling,2
2010,Vancouver,Curling,"PETERSSON, Haavard Vad",NOR,Men,Curling,2
2010,Vancouver,Curling,"SVAE, Christoffer",NOR,Men,Curling,2
2010,Vancouver,Curling,"ULSRUD, Thomas",NOR,Men,Curling,2
2010,Vancouver,Skiing,"SVINDAL, Aksel Lund",NOR,Men,Downhill,2
2010,Vancouver,Skiing,"JANSRUD, Kjetil",NOR,Men,Giant Slalom,2
2010,Vancouver,Skiing,"BJOERGEN, Marit",NOR,Women,30KM,2
2010,Vancouver,Skiing,"BERGER, Lars",NOR,Men,4X10KM Relay,2
2010,Vancouver,Skiing,"HJELMESET, Odd-Bjoern",NOR,Men,4X10KM Relay,2
2010,Vancouver,Skiing,"JOHNSRUD SUNDBY, Martin",NOR,Men,4X10KM Relay,2
2010,Vancouver,Skiing,"NORTHUG, Petter",NOR,Men,4X10KM Relay,2
2010,Vancouver,Skiing,"BERNTSEN, Hedda",NOR,Women,Ski Cross,2
2014,Sochi,Biathlon,"BERGER, Tora",NOR,Women,10KM Pursuit,2
2014,Sochi,Skiing,"JOHAUG, Therese",NOR,Women,30KM,2
2014,Sochi,Skiing,"OESTBERG, Ingvild Flugstad",NOR,Women,Sprint 1.5KM,2
2014,Sochi,Skiing,"MOAN, Magnus Hovdal",NOR,Men,Sprint K120,2
2014,Sochi,Skiing,"SANDBECH, Staale",NOR,Men,Slopestyle,2
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,10000M,3
1924,Chamonix,Skating,"MOEN, Sigurd",NOR,Men,1500M,3
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,5000M,3
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,500M,3
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,50KM,3
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,3
1928,St.Moritz,Skating,"BALLANGRUD, Ivar",NOR,Men,1500M,3
1928,St.Moritz,Skating,"EVENSEN, Bernt",NOR,Men,5000M,3
1928,St.Moritz,Skating,"LARSEN, Roald",NOR,Men,500M,3
1928,St.Moritz,Skiing,"’_DEGAARD, Reidar",NOR,Men,18KM,3
1928,St.Moritz,Skiing,"SNERSRUD, John",NOR,Men,Individual,3
1932,Lake Placid,Skiing,"RUSTADSTUEN, Arne",NOR,Men,50KM,3
1932,Lake Placid,Skiing,"VINJARENGEN, Hans",NOR,Men,Individual,3
1932,Lake Placid,Skiing,"WALBERG, Kaare",NOR,Men,K90 Individual (70M),3
1936,Garmisch Partenkirchen,Skiing,"SCHOU-NILSEN, Laila",NOR,Women,Alpine Combined,3
1936,Garmisch Partenkirchen,Skiing,"BRODAHL, Sverre",NOR,Men,Individual,3
1936,Garmisch Partenkirchen,Skiing,"ANDERSEN, Reidar",NOR,Men,K90 Individual (70M),3
1948,St.Moritz,Skating,"LUNDBERG, Odd",NOR,Men,1500M,3
1948,St.Moritz,Skiing,"EVENSEN, Erling",NOR,Men,4X10KM Relay,3
1948,St.Moritz,Skiing,"HAGEN, Olav I.",NOR,Men,4X10KM Relay,3
1948,St.Moritz,Skiing,"NYBORG, Reidar",NOR,Men,4X10KM Relay,3
1948,St.Moritz,Skiing,"’_KERN, Olav",NOR,Men,4X10KM Relay,3
1948,St.Moritz,Skiing,"SCHJELDERUP, Thorleif",NOR,Men,K90 Individual (70M),3
1952,Oslo,Skating,"AAS, Roald",NOR,Men,1500M,3
1952,Oslo,Skating,"HAUGLI, Sverre",NOR,Men,5000M,3
1952,Oslo,Skating,"JOHANSEN, Arne",NOR,Men,500M,3
1952,Oslo,Skiing,"BERGE, Guttorm",NOR,Men,Slalom,3
1952,Oslo,Skiing,"ESTENSTAD, Magnar",NOR,Men,50KM,3
1952,Oslo,Skiing,"STENERSEN, Sverre",NOR,Men,Individual,3
1956,Cortina d'Ampezzo,Skating,"GJESTVANG, Alv",NOR,Men,500M,3
1964,Innsbruck,Biathlon,"JORDET, Olav",NOR,Men,20KM,3
1964,Innsbruck,Skating,"JOHANNESEN, Knut",NOR,Men,10000M,3
1964,Innsbruck,Skating,"HAUGEN, Villy",NOR,Men,1500M,3
1964,Innsbruck,Skating,"MAIER, Fred Anton",NOR,Men,5000M,3
1964,Innsbruck,Skiing,"BRANDTZ’ÜG, Torgeir",NOR,Men,K120 Individual (90M),3
1964,Innsbruck,Skiing,"BRANDTZ’ÜG, Torgeir",NOR,Men,K90 Individual (70M),3
1968,Grenoble,Skiing,"AUFLES, Inger",NOR,Women,10KM,3
1968,Grenoble,Skiing,"GRINI, Lars",NOR,Men,K120 Individual (90M),3
1972,Sapporo,Skating,"STENSEN, Sten",NOR,Men,10000M,3
1972,Sapporo,Skating,"STENSEN, Sten",NOR,Men,5000M,3
1972,Sapporo,Skiing,"FORMO, Ivar",NOR,Men,15KM,3
1972,Sapporo,Skiing,"HARVIKEN, Johs",NOR,Men,30KM Mass Start,3
1972,Sapporo,Skiing,"AUFLES, Inger",NOR,Women,3X5KM Relay,3
1972,Sapporo,Skiing,"DAHL, Aslaug",NOR,Women,3X5KM Relay,3
1972,Sapporo,Skiing,"M’_RDRE, Berit",NOR,Women,3X5KM Relay,3
1976,Innsbruck,Skating,"KORSMO, Lisbeth",NOR,Women,3000M,3
1980,Lake Placid,Skating,"OXHOLM, Tom Erik",NOR,Men,10000M,3
1980,Lake Placid,Skating,"R’_NNING, Frode",NOR,Men,1000M,3
1980,Lake Placid,Skating,"ANDERSEN, Terje",NOR,Men,1500M,3
1980,Lake Placid,Skating,"OXHOLM, Tom Erik",NOR,Men,5000M,3
1980,Lake Placid,Skiing,"AUNLI, Ove",NOR,Men,15KM,3
1980,Lake Placid,Skiing,"AUNLI, Berit",NOR,Women,4X5KM Relay,3
1980,Lake Placid,Skiing,"B’_E, Anette",NOR,Women,4X5KM Relay,3
1980,Lake Placid,Skiing,"MYRMAEL, Marit",NOR,Women,4X5KM Relay,3
1980,Lake Placid,Skiing,"PETTERSEN, Brit",NOR,Women,4X5KM Relay,3
1984,Sarajevo,Biathlon,"KVALFOSS, Eirik",NOR,Men,20KM,3
1984,Sarajevo,Skating,"ENGELSTAD, Kai Arne",NOR,Men,1000M,3
1984,Sarajevo,Skiing,"PETTERSEN, Brit",NOR,Women,10KM,3
1984,Sarajevo,Skiing,"JAHREN, Anne",NOR,Women,20KM,3
1988,Calgary,Skiing,"ULVANG, Vegard",NOR,Men,30KM Mass Start,3
1988,Calgary,Skiing,"EIDHAMMER, Ole C.",NOR,Men,K120 Team (90M),3
1988,Calgary,Skiing,"FIDJEST’_L, Ole Gunnar",NOR,Men,K120 Team (90M),3
1988,Calgary,Skiing,"JOHNSEN, Erik",NOR,Men,K120 Team (90M),3
1988,Calgary,Skiing,"KJ’_RUM, Jon",NOR,Men,K120 Team (90M),3
1992,Albertville,Skating,"KARLSTAD, Geir",NOR,Men,10000M,3
1992,Albertville,Skiing,"AAMODT, Kjetil Andre",NOR,Men,Giant Slalom,3
1992,Albertville,Skiing,"THORSEN, Jan Einar",NOR,Men,Super-G,3
1992,Albertville,Skiing,"LANGLI, Terje",NOR,Men,30KM Mass Start,3
1992,Albertville,Skiing,"HATTESTAD, Stine Lise",NOR,Women,Moguls,3
1994,Lillehammer,Skiing,"STRAND NILSEN, Harald Chr.",NOR,Men,Alpine Combined,3
1994,Lillehammer,Skiing,"AAMODT, Kjetil Andre",NOR,Men,Super-G,3
1994,Lillehammer,Skiing,"SIVERTSEN, Sture",NOR,Men,50KM,3
1994,Lillehammer,Skiing,"LID, Hilde Synnove",NOR,Women,Aerials,3
1994,Lillehammer,Skiing,"VIK, Bjarte Engen",NOR,Men,Individual,3
1998,Nagano,Biathlon,"ANDREASSEN, Gunn Margit",NOR,Women,4X7.5KM Relay,3
1998,Nagano,Biathlon,"POIREE, Liv Grete",NOR,Women,4X7.5KM Relay,3
1998,Nagano,Biathlon,"SIKVELAND, Annette",NOR,Women,4X7.5KM Relay,3
1998,Nagano,Biathlon,"SKJELBREID, Ann Elen",NOR,Women,4X7.5KM Relay,3
1998,Nagano,Curling,"GRIMSMO, Anthon",NOR,Men,Curling,3
1998,Nagano,Curling,"GUNNESTAD, Stig-Arne",NOR,Men,Curling,3
1998,Nagano,Curling,"RAMSFJELL, Eigil",NOR,Men,Curling,3
1998,Nagano,Curling,"THORESEN, Jan",NOR,Men,Curling,3
1998,Nagano,Curling,"TORVBRAATEN, Tore",NOR,Men,Curling,3
1998,Nagano,Skiing,"MOEN, Anita",NOR,Women,15KM Mass Start,3
1998,Nagano,Skiing,"SKARI, Bente",NOR,Women,5KM,3
1998,Nagano,Skiing,"TRAA, Kari",NOR,Women,Moguls,3
2002,Salt Lake City,Skating,"SAETRE, Lasse",NOR,Men,10000M,3
2002,Salt Lake City,Skating,"SONDRAL, Adne",NOR,Men,1500M,3
2002,Salt Lake City,Skiing,"KJUS, Lasse",NOR,Men,Giant Slalom,3
2002,Salt Lake City,Skiing,"SKARI, Bente",NOR,Women,30KM,3
2002,Salt Lake City,Skiing,"SKJELDAL, Kristen",NOR,Men,30KM Mass Start,3
2002,Salt Lake City,Skiing,"HJELMESET, Odd-Bjoern",NOR,Men,50KM,3
2002,Salt Lake City,Skiing,"MOEN, Anita",NOR,Women,Sprint 1.5KM,3
2006,Turin,Biathlon,"ANDRESEN, Frode",NOR,Men,10KM,3
2006,Turin,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,15KM Mass Start,3
2006,Turin,Biathlon,"HANEVOLD, Halvard",NOR,Men,20KM,3
2006,Turin,Skiing,"PEDERSEN, Hilde G",NOR,Women,10KM,3
2006,Turin,Skiing,"MOAN, Magnus H.",NOR,Men,Individual,3
2006,Turin,Skiing,"BYSTOEL, Lars",NOR,Men,K120 Individual (90M),3
2006,Turin,Skiing,"BYSTOEL, Lars",NOR,Men,K120 Team (90M),3
2006,Turin,Skiing,"INGEBRIGTSEN, Tommy",NOR,Men,K120 Team (90M),3
2006,Turin,Skiing,"LJOEKELSOEY, Roar",NOR,Men,K120 Team (90M),3
2006,Turin,Skiing,"ROMOEREN, Bjoern Einar",NOR,Men,K120 Team (90M),3
2006,Turin,Skiing,"LJOEKELSOEY, Roar",NOR,Men,K90 Individual (70M),3
2006,Turin,Skiing,"BUAAS, Kjersti",NOR,Women,Half-Pipe,3
2010,Vancouver,Skating,"BOKKO, Havard",NOR,Men,1500M,3
2010,Vancouver,Skiing,"SVINDAL, Aksel Lund",NOR,Men,Giant Slalom,3
2010,Vancouver,Skiing,"BJOERGEN, Marit",NOR,Women,10KM,3
2010,Vancouver,Skiing,"NORTHUG, Petter",NOR,Men,Sprint 1.5KM,3
2010,Vancouver,Skiing,"GROENVOLD, Audun",NOR,Men,Ski Cross,3
2010,Vancouver,Skiing,"BARDAL, Anders",NOR,Men,K120 Team (90M),3
2010,Vancouver,Skiing,"EVENSEN, Johan Remen",NOR,Men,K120 Team (90M),3
2010,Vancouver,Skiing,"HILDE, Tom",NOR,Men,K120 Team (90M),3
2010,Vancouver,Skiing,"JACOBSEN, Anders",NOR,Men,K120 Team (90M),3
2014,Sochi,Biathlon,"ECKHOFF, Tiril",NOR,Women,12.5KM Mass Start,3
2014,Sochi,Biathlon,"BERGER, Tora",NOR,Women,4X6KM Relay,3
2014,Sochi,Biathlon,"ECKHOFF, Tiril",NOR,Women,4X6KM Relay,3
2014,Sochi,Biathlon,"FLATLAND, Ann Kristin Aafedt",NOR,Women,4X6KM Relay,3
2014,Sochi,Biathlon,"HORN, Fanny Welle-Strand",NOR,Women,4X6KM Relay,3
2014,Sochi,Skiing,"JANSRUD, Kjetil",NOR,Men,Downhill,3
2014,Sochi,Skiing,"KRISTOFFERSEN, Henrik",NOR,Men,Slalom,3
2014,Sochi,Skiing,"SUNDBY, Martin Johnsrud",NOR,Men,Combined 15+15K,3
2014,Sochi,Skiing,"JOHAUG, Therese",NOR,Women,10KM,3
2014,Sochi,Skiing,"STEIRA, Kristin Stoermer",NOR,Women,30KM,3
2014,Sochi,Skiing,"WENG, Heidi",NOR,Women,Combined7.5+7.5,3
2014,Sochi,Skiing,"KROG, Magnus",NOR,Men,Ind. K90 (70M),3
2014,Sochi,Skiing,"BARDAL, Anders",NOR,Men,Normal Hill,3
