United States's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
1998,Nagano,Skating,"KWAN, Michelle",USA,Women,Individual,2
1998,Nagano,Skating,"WITTY, Christine",USA,Women,1000M,2
2002,Salt Lake City,Bobsleigh,"HAYS, Todd",USA,Men,Four-Man,2
2002,Salt Lake City,Bobsleigh,"HINES, Garrett",USA,Men,Four-Man,2
2002,Salt Lake City,Bobsleigh,"JONES, Randy",USA,Men,Four-Man,2
2002,Salt Lake City,Bobsleigh,"SCHUFFENHAUER, Bill",USA,Men,Four-Man,2
2002,Salt Lake City,Bobsleigh,"PARSLEY, Lea Ann",USA,Women,Individual,2
2002,Salt Lake City,Ice Hockey,"AMONTE, Tony",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"BARRASSO, Tom",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"CHELIOS, Chris",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"DEADMARSH, Adam",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"DRURY, Chris",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"DUNHAM, Mike",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"GUERIN, Bill",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"HOUSLEY, Phil",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"HULL, Brett",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"LECLAIR, John",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"LEETCH, Brian",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"MILLER, Aaron",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"MODANO, Mike",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"POTI, Tom",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"RAFALSKI, Brian",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"RICHTER, Mike",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"ROENICK, Jeremy",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"ROLSTON, Brian",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"SUTER, Gary",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"TKACHUK, Keith",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"WEIGHT, Doug",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"YORK, Mike",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"YOUNG, Scott",USA,Men,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"BAILEY, Chris",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"BAKER, Laurie",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"BYE, Karyn",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"CHU, Julie",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"DARWITZ, Natalie",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"DECOSTA, Sara",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"DUNN-LUOMA, Tricia",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"GRANATO, Cammi",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"KENNEDY, Courtney",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"KILBOURNE, Andrea",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"KING, Katie",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"LOONEY, Shelley",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"MERZ, Sue",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"MLECZKO, Allison",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"MOUNSEY, Tara",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"POTTER, Jenny",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"RUGGIERO, Angela",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"TUETING, Sarah",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"WALL, Lyndsay",USA,Women,Ice Hockey,2
2002,Salt Lake City,Ice Hockey,"WENDELL, Krissy",USA,Women,Ice Hockey,2
2002,Salt Lake City,Luge,"GRIMMETTE, Mark",USA,Men,Doubles,2
2002,Salt Lake City,Luge,"MARTIN, Brian",USA,Men,Doubles,2
2002,Salt Lake City,Skating,"OHNO, Apolo Anton",USA,Men,1000M,2
2002,Salt Lake City,Skating,"PARRA, Derek",USA,Men,5000M,2
2002,Salt Lake City,Skiing,"MILLER, Bode",USA,Men,Alpine Combined,2
2002,Salt Lake City,Skiing,"MILLER, Bode",USA,Men,Giant Slalom,2
2002,Salt Lake City,Skiing,"PACK, Joe",USA,Men,Aerials,2
2002,Salt Lake City,Skiing,"MAYER, Travis",USA,Men,Moguls,2
2002,Salt Lake City,Skiing,"BAHRKE, Shannon",USA,Women,Moguls,2
2002,Salt Lake City,Skiing,"KASS, Danny",USA,Men,Half-Pipe,2
2006,Turin,Bobsleigh,"FLEMING, Valerie",USA,Women,Two-Man,2
2006,Turin,Bobsleigh,"ROHBOCK, Shauna",USA,Women,Two-Man,2
2006,Turin,Skating,"AGOSTO, Benjamin",USA,Men,Ice Dancing,2
2006,Turin,Skating,"BELBIN, Tanith",USA,Women,Ice Dancing,2
2006,Turin,Skating,"COHEN, Sasha",USA,Women,Individual,2
2006,Turin,Skating,"HEDRICK, Chad",USA,Men,10000M,2
2006,Turin,Skating,"CHEEK, Joey",USA,Men,1000M,2
2006,Turin,Skating,"DAVIS, Shani",USA,Men,1500M,2
2006,Turin,Skiing,"KASS, Danny",USA,Men,Half-Pipe,2
2006,Turin,Skiing,"BLEILER, Gretchen",USA,Women,Half-Pipe,2
2006,Turin,Skiing,"JACOBELLIS, Lindsey",USA,Women,Snowboard Cross,2
2010,Vancouver,Ice Hockey,"BACKES, David",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"BROWN, Dustin",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"CALLAHAN, Ryan",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"DRURY, Chris",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"GLEASON, Tim",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"JOHNSON, Erik",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"JOHNSON, Jack",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"KANE, Patrick",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"KESLER, Ryan",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"KESSEL, Phil",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"LANGENBRUNNER, Jamie",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"MALONE, Ryan",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"MILLER, Ryan",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"ORPIK, Brooks",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"PARISE, Zach",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"PAVELSKI, Joe",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"QUICK, Jonathan",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"RAFALSKI, Brian",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"RYAN, Bobby",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"STASTNY, Paul",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"SUTER, Ryan",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"THOMAS, Tim",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"WHITNEY, Ryan",USA,Men,Ice Hockey,2
2010,Vancouver,Ice Hockey,"BELLAMY, Kacey",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"CAHOW, Caitlin",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"CHESSON, Lisa",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"CHU, Julie",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"DARWITZ, Natalie",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"DUGGAN, Meghan",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"ENGSTROM, Molly",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"KNIGHT, Hilary",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"LAMOUREUX, Jocelyne",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"LAMOUREUX, Monique",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"LAWLER, Erika",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"MARVIN, Gigi",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"McLAUGHLIN, Brianne",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"POTTER, Jenny",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"RUGGIERO, Angela",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"SCHAUS, Molly",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"STACK, Kelli",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"THATCHER, Karen",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"VETTER, Jessie",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"WEILAND, Kerry",USA,Women,Ice Hockey,2
2010,Vancouver,Ice Hockey,"ZAUGG-SIERGIEJ, Jinelle",USA,Women,Ice Hockey,2
2010,Vancouver,Skating,"DAVIS, Meryl",USA,Women,Ice Dancing,2
2010,Vancouver,Skating,"WHITE, Charlie",USA,Men,Ice Dancing,2
2010,Vancouver,Skating,"REUTTER, Katherine",USA,Women,1000M,2
2010,Vancouver,Skating,"OHNO, Apolo Anton",USA,Men,1500M,2
2010,Vancouver,Skating,"DAVIS, Shani",USA,Men,1500M,2
2010,Vancouver,Skating,"HANSEN, Brian",USA,Men,Team Pursuit,2
2010,Vancouver,Skating,"HEDRICK, Chad",USA,Men,Team Pursuit,2
2010,Vancouver,Skating,"KUCK, Jonathan",USA,Men,Team Pursuit,2
2010,Vancouver,Skating,"MARSICANO, Trevor",USA,Men,Team Pursuit,2
2010,Vancouver,Skiing,"MANCUSO, Julia",USA,Women,Downhill,2
2010,Vancouver,Skiing,"MANCUSO, Julia",USA,Women,Super Combined,2
2010,Vancouver,Skiing,"MILLER, Bode",USA,Men,Super-G,2
2010,Vancouver,Skiing,"PETERSON, Jeret",USA,Men,Aerials,2
2010,Vancouver,Skiing,"SPILLANE, Johnny",USA,Men,"Individual, Ski Jumping K90 (70M)",2
2010,Vancouver,Skiing,"SPILLANE, Johnny",USA,Men,Sprint K120,2
2010,Vancouver,Skiing,"CAMEROTA, Brett",USA,Men,"Team, 4X5 KM",2
2010,Vancouver,Skiing,"DEMONG, Bill",USA,Men,"Team, 4X5 KM",2
2010,Vancouver,Skiing,"LODWICK, Todd",USA,Men,"Team, 4X5 KM",2
2010,Vancouver,Skiing,"SPILLANE, Johnny",USA,Men,"Team, 4X5 KM",2
2010,Vancouver,Skiing,"TETER, Hannah",USA,Women,Half-Pipe,2
2014,Sochi,Bobsleigh,"MEYERS, Elana",USA,Women,Two-Woman,2
2014,Sochi,Bobsleigh,"WILLIAMS, Lauryn",USA,Women,Two-Woman,2
2014,Sochi,Bobsleigh,"PIKUS-PACE, Noelle",USA,Women,Individual,2
2014,Sochi,Ice Hockey,"BELLAMY, Kacey",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"BOZEK, Megan",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"CARPENTER, Alex",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"CHU, Julie",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"COYNE, Kendall",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"DECKER, Brianna",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"DUGGAN, Meghan",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"FRY, Lyndsey",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"KESSEL, Amanda",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"KNIGHT, Hilary",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"LAMOUREUX, Jocelyne",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"LAMOUREUX, Monique",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"MARVIN, Gigi",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"MCLAUGHLIN, Brianne",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"PICARD, Michelle",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"PUCCI, Josephine",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"SCHAUS, Molly",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"SCHLEPER, Anne",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"STACK, Kelli",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"STECKLEIN, Lee",USA,Women,Ice Hockey,2
2014,Sochi,Ice Hockey,"VETTER, Jessie",USA,Women,Ice Hockey,2
2014,Sochi,Skating,"ALVAREZ, Eduardo",USA,Men,5000M Relay,2
2014,Sochi,Skating,"CELSKI, J.R.",USA,Men,5000M Relay,2
2014,Sochi,Skating,"CREVELING, Chris",USA,Men,5000M Relay,2
2014,Sochi,Skating,"MALONE, Jordan",USA,Men,5000M Relay,2
2014,Sochi,Skiing,"WEIBRECHT, Andrew",USA,Men,Super-G,2
2014,Sochi,Skiing,"KENWORTHY, Gus",USA,Men,Ski Slopestyle,2
2014,Sochi,Skiing,"LOGAN, Devin",USA,Women,Ski Slopestyle,2
1924,Chamonix,Skiing,"HAUGEN, Anders",USA,Men,K90 Individual (70M),3
1928,St.Moritz,Skating,"LOUGHRAN, Beatrix",USA,Women,Individual,3
1928,St.Moritz,Skating,"FARRELL, John O",USA,Men,500M,3
1932,Lake Placid,Bobsleigh,"BRYANT, Precy D.",USA,Men,Two-Man,3
1932,Lake Placid,Bobsleigh,"HEATON, John",USA,Men,Two-Man,3
1932,Lake Placid,Bobsleigh,"HOMBURGER, Henry A.",USA,Men,Two-Man,3
1932,Lake Placid,Bobsleigh,"MARTIN, Harry G",USA,Men,Two-Man,3
1932,Lake Placid,Bobsleigh,"MINTON, Robert",USA,Men,Two-Man,3
1932,Lake Placid,Bobsleigh,"STEVENS, J. Hubert",USA,Men,Two-Man,3
1932,Lake Placid,Skating,"VINSON, Maribel",USA,Women,Individual,3
1936,Garmisch Partenkirchen,Bobsleigh,"COLGATE, Gilbert",USA,Men,Two-Man,3
1936,Garmisch Partenkirchen,Bobsleigh,"LAWRENCE, Richard Webster",USA,Men,Two-Man,3
1936,Garmisch Partenkirchen,Ice Hockey,"GARRISON, John Bright",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"KAMMER, August",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"LA BATTE, Philip William",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"LAX, John Charles",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"MOONE, Thomas",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"ROSS, Eldridge Baker",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"ROWE, Paul Edward",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"SHAUGHNESSY, Francis John",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"SMITH, Gordon",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"SPAIN, Francis Jones",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Ice Hockey,"STUBBS, Frank Raymond",USA,Men,Ice Hockey,3
1936,Garmisch Partenkirchen,Skating,"FREISINGER, Leo",USA,Men,500M,3
1948,St.Moritz,Bobsleigh,"BICKFORD, James John",USA,Men,Four-Man,3
1948,St.Moritz,Bobsleigh,"DUPREE, Donald",USA,Men,Four-Man,3
1948,St.Moritz,Bobsleigh,"DUPREE, William",USA,Men,Four-Man,3
1948,St.Moritz,Bobsleigh,"HICKS, Thomas",USA,Men,Four-Man,3
1948,St.Moritz,Bobsleigh,"CARRON, Schuyler",USA,Men,Two-Man,3
1948,St.Moritz,Bobsleigh,"FORTUNE, Frederick Joseph",USA,Men,Two-Man,3
1952,Oslo,Skating,"GROGAN, James",USA,Men,Individual,3
1956,Cortina d'Ampezzo,Bobsleigh,"BUTLER, Charles",USA,Men,Four-Man,3
1956,Cortina d'Ampezzo,Bobsleigh,"DODGE, William L.",USA,Men,Four-Man,3
1956,Cortina d'Ampezzo,Bobsleigh,"LAMY, James Ernest",USA,Men,Four-Man,3
1956,Cortina d'Ampezzo,Bobsleigh,"TYLER, Arthur W.",USA,Men,Four-Man,3
1956,Cortina d'Ampezzo,Skating,"JENKINS, David",USA,Men,Individual,3
1960,Squaw Valley,Skating,"ROLES, Barbara",USA,Women,Individual,3
1960,Squaw Valley,Skating,"LUDINGTON, Nancy",USA,Women,Pairs,3
1960,Squaw Valley,Skating,"LUDINGTON, Ronald",USA,Men,Pairs,3
1960,Squaw Valley,Skating,"ASHWORTH, Jeanne",USA,Women,500M,3
1964,Innsbruck,Skating,"ALLEN, Scott",USA,Men,Individual,3
1964,Innsbruck,Skating,"JOSEPH, Ronald",USA,Women,Pairs,3
1964,Innsbruck,Skating,"JOSEPH, Vivian",USA,Men,Pairs,3
1964,Innsbruck,Skiing,"HEUGA, James",USA,Men,Slalom,3
1964,Innsbruck,Skiing,"SAUBERT, Jean",USA,Women,Slalom,3
1968,Grenoble,Skating,"HOLUM, Dianne",USA,Women,1000M,3
1972,Sapporo,Skating,"LYNN, Janet",USA,Women,Individual,3
1972,Sapporo,Skating,"HENNING, Anne",USA,Women,1000M,3
1972,Sapporo,Skiing,"CORROCK, Susan",USA,Women,Downhill,3
1976,Innsbruck,Skating,"MILLNS, James",USA,Men,Ice Dancing,3
1976,Innsbruck,Skating,"O'CONNOR, Colleen",USA,Women,Ice Dancing,3
1976,Innsbruck,Skating,"YOUNG, Sheila",USA,Women,1000M,3
1976,Innsbruck,Skating,"IMMERFALL, Daniel",USA,Men,500M,3
1976,Innsbruck,Skiing,"NELSON, Cynthia",USA,Women,Downhill,3
1980,Lake Placid,Skating,"TICKNER, Charles",USA,Men,Individual,3
1980,Lake Placid,Skating,"HEIDEN, Beth",USA,Women,3000M,3
1988,Calgary,Skating,"THOMAS, Debra",USA,Women,Individual,3
1988,Calgary,Skating,"OPPEGARD, Peter",USA,Men,Pairs,3
1988,Calgary,Skating,"WATSON, Jill",USA,Women,Pairs,3
1988,Calgary,Skating,"BLAIR, Bonnie",USA,Women,1000M,3
1992,Albertville,Skating,"KERRIGAN, Nancy",USA,Women,Individual,3
1992,Albertville,Skiing,"CARMICHAEL, Nelson",USA,Men,Moguls,3
1994,Lillehammer,Skating,"CASHMAN, Karen",USA,Women,3000M Relay,3
1994,Lillehammer,Skating,"PETERSON, Amy",USA,Women,3000M Relay,3
1994,Lillehammer,Skating,"SUNDSTROM, Shana",USA,Women,3000M Relay,3
1994,Lillehammer,Skating,"TURNER, Cathy",USA,Women,3000M Relay,3
1994,Lillehammer,Skating,"ZIEGELMEYER, Nikki",USA,Women,3000M Relay,3
1994,Lillehammer,Skating,"PETERSON, Amy",USA,Women,500M,3
1998,Nagano,Luge,"GRIMMETTE, Mark",USA,Men,Doubles,3
1998,Nagano,Luge,"MARTIN, Brian",USA,Men,Doubles,3
1998,Nagano,Skating,"WITTY, Christine",USA,Women,1500M,3
1998,Nagano,Skiing,"POWERS, Ross",USA,Men,Half-Pipe,3
1998,Nagano,Skiing,"DUNN-DOWNING, Shannon",USA,Women,Half-Pipe,3
2002,Salt Lake City,Bobsleigh,"KOHN, Mike",USA,Men,Four-Man,3
2002,Salt Lake City,Bobsleigh,"SHARP, Doug",USA,Men,Four-Man,3
2002,Salt Lake City,Bobsleigh,"SHIMER, Brian",USA,Men,Four-Man,3
2002,Salt Lake City,Bobsleigh,"STEELE, Dan",USA,Men,Four-Man,3
2002,Salt Lake City,Luge,"IVES, Clay",USA,Men,Doubles,3
2002,Salt Lake City,Luge,"THORPE, Chris",USA,Men,Doubles,3
2002,Salt Lake City,Skating,"GOEBEL, Timothy",USA,Men,Individual,3
2002,Salt Lake City,Skating,"KWAN, Michelle",USA,Women,Individual,3
2002,Salt Lake City,Skating,"SMITH, Rusty",USA,Men,500M,3
2002,Salt Lake City,Skating,"CHEEK, Joey",USA,Men,1000M,3
2002,Salt Lake City,Skating,"RODRIGUEZ, Jennifer",USA,Women,1000M,3
2002,Salt Lake City,Skating,"RODRIGUEZ, Jennifer",USA,Women,1500M,3
2002,Salt Lake City,Skating,"CARPENTER, Kip",USA,Men,500M,3
2002,Salt Lake City,Skiing,"KLUG, Chris",USA,Men,Giant Parallel Slalom,3
2002,Salt Lake City,Skiing,"THOMAS, Jarret",USA,Men,Half-Pipe,3
2006,Turin,Curling,"BAIRD, Scott",USA,Men,Curling,3
2006,Turin,Curling,"FENSON, Pete",USA,Men,Curling,3
2006,Turin,Curling,"POLO, Joe",USA,Men,Curling,3
2006,Turin,Curling,"ROJESKI, Shawn",USA,Men,Curling,3
2006,Turin,Curling,"SHUSTER, John",USA,Men,Curling,3
2006,Turin,Ice Hockey,"CAHOW, Caitlin",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"CHU, Julie",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"DARWITZ, Natalie",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"DREYER, Pam",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"DUNN-LUOMA, Tricia",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"ENGSTROM, Molly",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"GUNN, Chanda",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"HAGERMAN, Jamie",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"INSALACO, Kim",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"KAUTH, Kathleen",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"KENNEDY, Courtney",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"KING, Katie",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"KING, Kristin",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"PARSONS, Sarah",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"POTTER, Jenny",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"RESOR, Helen",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"RUGGIERO, Angela",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"STEPHENS, Kelly",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"WALL, Lyndsay",USA,Women,Ice Hockey,3
2006,Turin,Ice Hockey,"WENDELL, Krissy",USA,Women,Ice Hockey,3
2006,Turin,Skating,"OHNO, Apolo Anton",USA,Men,1000M,3
2006,Turin,Skating,"IZYKOWSKI, Alex",USA,Men,5000M Relay,3
2006,Turin,Skating,"KEPKA, J.p.",USA,Men,5000M Relay,3
2006,Turin,Skating,"OHNO, Apolo Anton",USA,Men,5000M Relay,3
2006,Turin,Skating,"SMITH, Rusty",USA,Men,5000M Relay,3
2006,Turin,Skating,"HEDRICK, Chad",USA,Men,1500M,3
2006,Turin,Skiing,"DAWSON, Toby",USA,Men,Moguls,3
2006,Turin,Skiing,"FLETCHER, Rosey",USA,Women,Giant Parallel Slalom,3
2010,Vancouver,Bobsleigh,"MEYERS, Elana",USA,Women,Two-Man,3
2010,Vancouver,Bobsleigh,"PAC, Erin",USA,Women,Two-Man,3
2010,Vancouver,Skating,"OHNO, Apolo Anton",USA,Men,1000M,3
2010,Vancouver,Skating,"CELSKI, J.R.",USA,Men,1500M,3
2010,Vancouver,Skating,"BAVER, Allison",USA,Women,3000M Relay,3
2010,Vancouver,Skating,"DERRICK, Kimberly",USA,Women,3000M Relay,3
2010,Vancouver,Skating,"DUDEK, Alyson",USA,Women,3000M Relay,3
2010,Vancouver,Skating,"GEHRING, Lana",USA,Women,3000M Relay,3
2010,Vancouver,Skating,"REUTTER, Katherine",USA,Women,3000M Relay,3
2010,Vancouver,Skating,"CELSKI, J.R.",USA,Men,5000M Relay,3
2010,Vancouver,Skating,"CHO, Simon",USA,Men,5000M Relay,3
2010,Vancouver,Skating,"JAYNER, Travis",USA,Men,5000M Relay,3
2010,Vancouver,Skating,"MALONE, Jordan",USA,Men,5000M Relay,3
2010,Vancouver,Skating,"OHNO, Apolo Anton",USA,Men,5000M Relay,3
2010,Vancouver,Skating,"HEDRICK, Chad",USA,Men,1000M,3
2010,Vancouver,Skiing,"MILLER, Bode",USA,Men,Downhill,3
2010,Vancouver,Skiing,"WEIBRECHT, Andrew",USA,Men,Super-G,3
2010,Vancouver,Skiing,"VONN, Lindsey",USA,Women,Super-G,3
2010,Vancouver,Skiing,"WILSON, Bryon",USA,Men,Moguls,3
2010,Vancouver,Skiing,"BAHRKE, Shannon",USA,Women,Moguls,3
2010,Vancouver,Skiing,"LAGO, Scott",USA,Men,Half-Pipe,3
2010,Vancouver,Skiing,"CLARK, Kelly",USA,Women,Half-Pipe,3
2014,Sochi,Bobsleigh,"FOGT, Christopher",USA,Men,Four-Man,3
2014,Sochi,Bobsleigh,"HOLCOMB, Steven",USA,Men,Four-Man,3
2014,Sochi,Bobsleigh,"LANGTON, Steven",USA,Men,Four-Man,3
2014,Sochi,Bobsleigh,"TOMASEVICZ, Curtis",USA,Men,Four-Man,3
2014,Sochi,Bobsleigh,"HOLCOMB, Steven",USA,Men,Two-Man,3
2014,Sochi,Bobsleigh,"LANGTON, Steven",USA,Men,Two-Man,3
2014,Sochi,Bobsleigh,"EVANS, Aja",USA,Women,Two-Woman,3
2014,Sochi,Bobsleigh,"GREUBEL, Jamie",USA,Women,Two-Woman,3
2014,Sochi,Bobsleigh,"ANTOINE, Matthew",USA,Men,Individual,3
2014,Sochi,Luge,"HAMLIN, Erin",USA,Women,Singles,3
2014,Sochi,Skating,"ABBOTT, Jeremy",USA,Men,Team,3
2014,Sochi,Skating,"BROWN, Jason",USA,Men,Team,3
2014,Sochi,Skating,"SHNAPIR, Simon",USA,Men,Team,3
2014,Sochi,Skating,"WHITE, Charlie",USA,Men,Team,3
2014,Sochi,Skating,"CASTELLI, Marissa",USA,Women,Team,3
2014,Sochi,Skating,"DAVIS, Meryl",USA,Women,Team,3
2014,Sochi,Skating,"GOLD, Gracie",USA,Women,Team,3
2014,Sochi,Skating,"WAGNER, Ashley",USA,Women,Team,3
