United States's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
1980,Lake Placid,Ice Hockey,"SILK, David",USA,Men,Ice Hockey,1
1980,Lake Placid,Ice Hockey,"STROBEL, Eric",USA,Men,Ice Hockey,1
1980,Lake Placid,Ice Hockey,"SUTER, Robert",USA,Men,Ice Hockey,1
1980,Lake Placid,Ice Hockey,"VERCHOTA, Philip",USA,Men,Ice Hockey,1
1980,Lake Placid,Ice Hockey,"WELLS, Mark",USA,Men,Ice Hockey,1
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,10000M,1
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,1000M,1
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,1500M,1
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,5000M,1
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,500M,1
1984,Sarajevo,Skating,"HAMILTON, Scott",USA,Men,Individual,1
1984,Sarajevo,Skiing,"JOHNSON, William",USA,Men,Downhill,1
1984,Sarajevo,Skiing,"ARMSTRONG, Debbie",USA,Women,Giant Slalom,1
1984,Sarajevo,Skiing,"MAHRE, Phillip",USA,Men,Slalom,1
1988,Calgary,Skating,"BOITANO, Brian",USA,Men,Individual,1
1988,Calgary,Skating,"BLAIR, Bonnie",USA,Women,500M,1
1992,Albertville,Skating,"YAMAGUCHI, Kristi",USA,Women,Individual,1
1992,Albertville,Skating,"TURNER, Cathy",USA,Women,500M,1
1992,Albertville,Skating,"BLAIR, Bonnie",USA,Women,1000M,1
1992,Albertville,Skating,"BLAIR, Bonnie",USA,Women,500M,1
1992,Albertville,Skiing,"WEINBRECHT, Donna",USA,Women,Moguls,1
1994,Lillehammer,Skating,"TURNER, Cathy",USA,Women,500M,1
1994,Lillehammer,Skating,"JANSEN, Daniel",USA,Men,1000M,1
1994,Lillehammer,Skating,"BLAIR, Bonnie",USA,Women,1000M,1
1994,Lillehammer,Skating,"BLAIR, Bonnie",USA,Women,500M,1
1994,Lillehammer,Skiing,"MOE, Thomas",USA,Men,Downhill,1
1994,Lillehammer,Skiing,"ROFFE, Diann",USA,Women,Super-G,1
1998,Nagano,Ice Hockey,"BAILEY, Chris",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"BAKER, Laurie",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"BLAHOSKI, Alana",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"BROWN-MILLER, Lisa",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"BYE, Karyn",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"COYNE, Colleen",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"DECOSTA, Sara",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"DUNN-LUOMA, Tricia",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"GRANATO, Cammi",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"KING, Katie",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"LOONEY, Shelley",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"MERZ, Sue",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"MLECZKO, Allison",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"MOUNSEY, Tara",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"MOVSESSIAN, Vicki",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"POTTER, Jenny",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"RUGGIERO, Angela",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"TUETING, Sarah",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"ULION, Gretchen",USA,Women,Ice Hockey,1
1998,Nagano,Ice Hockey,"WHYTE, Sandra",USA,Women,Ice Hockey,1
1998,Nagano,Skating,"LIPINSKI, Tara",USA,Women,Individual,1
1998,Nagano,Skiing,"STREET, Picabo",USA,Women,Super-G,1
1998,Nagano,Skiing,"BERGOUST, Eric",USA,Men,Aerials,1
1998,Nagano,Skiing,"STONE, Nikki",USA,Women,Aerials,1
1998,Nagano,Skiing,"MOSELEY, Jonny",USA,Men,Moguls,1
2002,Salt Lake City,Bobsleigh,"BAKKEN, Jill",USA,Women,Two-Man,1
2002,Salt Lake City,Bobsleigh,"FLOWERS, Vonetta",USA,Women,Two-Man,1
2002,Salt Lake City,Bobsleigh,"SHEA, Jim",USA,Men,Individual,1
2002,Salt Lake City,Bobsleigh,"GALE, Tristan",USA,Women,Individual,1
2002,Salt Lake City,Skating,"HUGHES, Sarah",USA,Women,Individual,1
2002,Salt Lake City,Skating,"OHNO, Apolo Anton",USA,Men,1500M,1
2002,Salt Lake City,Skating,"WITTY, Chris",USA,Women,1000M,1
2002,Salt Lake City,Skating,"PARRA, Derek",USA,Men,1500M,1
2002,Salt Lake City,Skating,"FITZRANDOLPH, Casey",USA,Men,500M,1
2002,Salt Lake City,Skiing,"POWERS, Ross",USA,Men,Half-Pipe,1
